,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
10668,18612413.0,3.0,3.0,-10.962,6.819,6.3725,-11.934,5.8106,6.6814,0.042273,0.034973,0.04402,0.057056,15.0,0.0
10669,18612413.0,5.0,3.0,-11.797,6.0201,6.6336,-11.797,6.0198,6.6332,0.001058,0.00098174,0.054705,0.054733,15.0,1.0
10670,18612413.0,7.0,3.0,-11.504,6.3897,6.5101,-11.505,6.3894,6.5085,0.0012109,0.00098499,0.050258,0.050357,15.0,1.0
10671,18612413.0,9.0,3.0,-11.262,6.6215,6.4256,-11.273,6.6435,6.4219,0.0027365,0.00094957,0.047175,0.048179,15.0,1.0
10672,18612681.0,1.0,3.0,-7.8761,10.35,-14.547,-10.092,11.546,-11.792,0.53945,0.53584,0.032263,0.046514,16.0,0.0
10673,18612681.0,3.0,3.0,-8.1094,10.476,-14.257,-8.1246,10.454,-14.253,0.0026481,0.00080938,0.033762,0.034795,16.0,1.0
10674,18622117.0,1.0,3.0,0.91165,-13.216,3.6237,-0.27307,-15.34,3.9089,0.68462,0.68223,0.03117,0.040206,9.0,0.0
10675,18623223.0,1.0,3.0,4.1628,12.164,-14.948,4.8459,14.519,-16.104,0.29771,0.29511,0.032752,0.044419,1.0,0.0
10676,18623223.0,3.0,3.0,4.7652,14.241,-15.968,4.7776,14.248,-15.944,0.0031217,0.00092616,0.043039,0.044171,1.0,1.0
10677,18625059.0,1.0,3.0,-12.277,5.7817,-5.6986,-13.184,7.8667,-3.4701,0.92127,0.91798,0.048468,0.059836,15.0,0.0
10678,18625059.0,3.0,3.0,-12.883,3.2281,-9.648,-14.587,1.3893,-6.4599,0.41559,0.41214,0.038503,0.05472,14.0,0.0
10679,18625059.0,5.0,3.0,-13.426,2.6425,-8.6328,-13.401,2.6345,-8.603,0.0030046,0.00099568,0.043667,0.045192,14.0,1.0
10680,18629810.0,1.0,3.0,-0.55843,12.959,-13.873,-0.018971,15.37,-13.872,0.80913,0.8075,0.049406,0.058342,0.0,0.0
10681,18629810.0,3.0,3.0,-0.27326,14.234,-13.872,-0.096899,14.215,-13.859,0.0072871,0.00096157,0.05413,0.059023,0.0,1.0
10682,18646100.0,1.0,3.0,9.7484,9.7318,-9.4573,8.4106,11.891,-9.7949,0.19911,0.19658,0.041587,0.053895,2.0,0.0
10683,18646100.0,3.0,3.0,8.5677,11.637,-9.7552,8.5679,11.637,-9.7557,0.0010548,0.00096256,0.05245,0.052477,2.0,1.0
10684,18647861.0,1.0,3.0,12.665,-2.7983,9.9586,13.908,-3.7182,10.194,0.1604,0.15688,0.036529,0.044575,5.0,0.0
10685,18649528.0,1.0,3.0,-12.02,-5.7945,12.045,-13.022,-8.0272,11.877,0.70738,0.70452,0.047623,0.056637,12.0,0.0
10686,18649922.0,1.0,3.0,-11.315,6.1499,16.398,-13.257,6.3302,15.772,0.66959,0.66776,0.036509,0.04409,15.0,0.0
10687,18651350.0,1.0,3.0,7.9419,-10.205,5.2322,9.9072,-11.75,5.1034,0.58604,0.58349,0.027752,0.037189,7.0,0.0
10688,18656260.0,1.0,3.0,10.989,6.7038,-0.56176,12.967,6.0297,-0.44447,0.21632,0.21387,0.054715,0.064526,3.0,0.0
10689,18671436.0,1.0,3.0,3.5643,13.422,-7.855,4.7165,11.984,-8.0605,0.18912,0.18759,0.040434,0.049481,1.0,0.0
10690,18678544.0,1.0,3.0,7.8234,10.526,5.4545,10.27,10.404,3.9901,0.68777,0.68572,0.027397,0.037919,2.0,0.0
10691,18682892.0,1.0,3.0,12.871,-3.2114,-1.4679,12.965,-3.3234,-1.3879,0.56826,0.56814,0.033773,0.034405,5.0,0.0
10692,18682892.0,5.0,3.0,12.975,-3.3334,-1.3755,13.383,-3.6145,-0.61844,0.46248,0.46166,0.034477,0.038023,5.0,0.0
10693,18682892.0,7.0,3.0,13.409,-3.6255,-0.58086,15.15,-2.3303,0.15375,0.18486,0.1823,0.0383,0.049559,5.0,0.0
10694,18682892.0,9.0,3.0,15.15,-2.328,0.15751,13.236,-1.3572,1.166,0.1538,0.1499,0.049587,0.061953,5.0,0.0
10695,18682892.0,11.0,3.0,13.409,-3.6255,-0.58086,14.443,-1.3072,0.045743,0.04975,0.036434,0.0383,0.061108,5.0,0.0
10696,18682892.0,13.0,3.0,13.462,-3.5407,-0.56223,13.461,-3.5337,-0.57517,0.0018934,0.00094296,0.039124,0.03977,5.0,1.0
10697,18682938.0,1.0,3.0,-1.2338,-14.401,-13.629,0.89578,-13.2,-13.38,0.23501,0.2326,0.034019,0.045271,9.0,0.0
10698,18690114.0,1.0,3.0,4.2687,-12.107,-5.8617,4.7665,-14.518,-2.3309,0.2834,0.27899,0.031088,0.049841,8.0,0.0
10699,18690114.0,3.0,3.0,4.4349,-12.912,-4.683,4.3702,-13.001,-4.7114,0.0062732,0.00099976,0.037348,0.041262,8.0,1.0
10700,18692055.0,1.0,3.0,-4.2424,14.379,7.2843,-6.0822,13.411,8.3891,0.31843,0.31575,0.035349,0.04532,17.0,0.0
10701,18692055.0,3.0,3.0,-6.084,13.396,8.405,-5.7071,12.338,9.4404,0.10026,0.097784,0.045453,0.054738,17.0,0.0
10702,18695883.0,1.0,3.0,12.544,7.968,-16.5,12.807,8.1713,-16.294,0.67237,0.6718,0.040912,0.04236,3.0,0.0
10703,18696813.0,1.0,3.0,13.126,-1.4306,-5.5244,13.883,-1.1784,-5.8715,0.49981,0.49908,0.047896,0.051261,5.0,0.0
10704,18696813.0,3.0,3.0,13.896,-1.1784,-5.8959,12.758,-3.0329,-5.4415,0.20828,0.20607,0.051572,0.062107,5.0,0.0
10705,18696813.0,5.0,3.0,12.761,-3.0371,-5.4358,12.97,-1.5688,-5.2966,0.14003,0.1379,0.062157,0.070177,5.0,0.0
10706,18696813.0,7.0,3.0,12.97,-1.5683,-5.2966,14.79,-3.34,-5.4593,0.13176,0.12659,0.070185,0.084181,5.0,0.0
10707,18697007.0,1.0,3.0,11.848,-8.2671,11.903,13.462,-7.2667,9.7058,0.85533,0.85207,0.050898,0.061342,6.0,0.0
10708,18697311.0,1.0,3.0,7.8705,-10.365,14.447,9.3836,-9.5723,13.289,0.26742,0.26553,0.029913,0.039037,7.0,0.0
10709,18697311.0,3.0,3.0,7.9596,-10.318,14.379,10.046,-10.441,15.826,0.029198,0.00095908,0.03045,0.066764,7.0,1.0
10710,18697311.0,5.0,3.0,9.539,-10.467,15.607,9.539,-10.468,15.609,0.0015017,0.00095723,0.054522,0.054622,7.0,1.0
10711,18697311.0,7.0,3.0,8.6864,-10.229,15.155,8.6852,-10.228,15.158,0.0011684,0.00098521,0.042304,0.042479,7.0,1.0
10712,18700100.0,1.0,3.0,7.8424,10.451,-9.5914,8.7521,12.032,-10.313,0.60757,0.60628,0.041493,0.048849,2.0,0.0
10713,18700100.0,3.0,3.0,8.7814,12.04,-10.344,10.256,10.365,-10.917,0.44045,0.4377,0.049033,0.058143,2.0,0.0
10714,18702670.0,1.0,3.0,-12.663,-2.1065,-10.966,-14.541,-1.3604,-11.077,0.24705,0.24216,0.040685,0.049826,13.0,0.0
10715,18702670.0,3.0,3.0,-14.549,-1.3652,-11.077,-14.913,-3.1952,-11.25,0.17909,0.17707,0.049879,0.05918,13.0,0.0
10716,18710722.0,1.0,3.0,4.6917,-11.986,12.879,5.8806,-13.952,13.339,0.73201,0.72987,0.038122,0.046695,8.0,0.0
10717,18718326.0,1.0,3.0,-0.026393,12.83,-10.972,-0.80074,15.086,-12.696,0.78158,0.77972,0.038533,0.049218,0.0,0.0
10718,18728056.0,1.0,3.0,0.19084,12.844,11.831,0.54738,15.246,12.814,0.45465,0.45231,0.032808,0.043106,0.0,0.0
10719,18728056.0,3.0,3.0,-1.2242,13.762,15.734,-1.1159,14.706,16.204,1.297,1.2962,0.040387,0.044074,0.0,0.0
10720,18731865.0,1.0,3.0,5.3796,-12.108,14.541,5.7748,-12.967,16.5,0.80579,0.80384,0.053865,0.061736,8.0,0.0
10721,18733001.0,1.0,3.0,-13.105,-1.4469,8.7318,-13.777,-1.1831,8.4611,0.43846,0.43749,0.032074,0.035125,13.0,0.0
10722,18733001.0,3.0,3.0,-13.804,-1.181,8.4538,-15.088,-2.0382,7.3675,0.26437,0.26161,0.035282,0.043653,13.0,0.0
10723,18737201.0,1.0,3.0,12.619,-2.3648,-5.8811,14.236,-2.6611,-4.849,0.030498,0.00095618,0.089241,0.12213,5.0,0.0
10724,18737201.0,3.0,3.0,14.01,-2.8354,-5.379,14.01,-2.8339,-5.3745,0.0014127,0.00098044,0.11021,0.11047,5.0,1.0
10725,18737201.0,5.0,3.0,13.703,-2.6309,-5.8035,13.704,-2.6366,-5.8107,0.0016668,0.000998,0.10277,0.10322,5.0,1.0
10726,18738958.0,1.0,3.0,-11.115,6.4087,-12.139,-13.463,6.8366,-12.037,0.63804,0.63593,0.03439,0.043287,15.0,0.0
10727,18742531.0,1.0,3.0,-4.3463,12.072,-1.8072,-6.0884,13.351,-1.3398,0.15648,0.1524,0.049127,0.060591,17.0,0.0
