,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
16281,12099573.0,1.0,3.0,-11.665,5.9034,-6.8059,-13.481,7.0732,-7.2832,0.15052,0.14761,0.041752,0.053372,15.0,0.0
16282,12107952.0,1.0,3.0,-8.0562,-10.027,14.749,-8.6623,-9.5962,15.814,0.28651,0.28452,0.035461,0.041105,11.0,0.0
16283,12107952.0,3.0,3.0,-8.6642,-9.5956,15.827,-9.3921,-10.369,16.5,0.15117,0.14983,0.041171,0.047766,11.0,0.0
16284,12109788.0,1.0,3.0,8.3156,-9.7746,-8.2524,10.055,-11.595,-8.4769,0.52228,0.51777,0.038237,0.047937,7.0,0.0
16285,12110895.0,1.0,3.0,13.784,1.1825,10.197,14.964,3.1196,10.494,0.090601,0.083665,0.039896,0.054668,4.0,0.0
16286,12116184.0,1.0,3.0,-0.15336,12.839,-2.8284,0.24016,15.347,-2.692,0.3395,0.33655,0.033886,0.044494,0.0,0.0
16287,12116184.0,3.0,3.0,0.19814,15.079,-2.7066,0.24199,15.067,-2.7199,0.0036533,0.00097019,0.043361,0.045556,0.0,1.0
16288,12117312.0,1.0,3.0,3.7047,-12.647,-14.168,4.1959,-14.354,-13.95,0.80016,0.79847,0.03552,0.042004,8.0,0.0
16289,12117495.0,1.0,3.0,-11.498,5.9992,1.7089,-10.965,6.8018,2.4763,1.42,1.4185,0.061565,0.065824,15.0,0.0
16290,12117495.0,3.0,3.0,-10.955,6.8649,2.5498,-13.466,6.8543,4.5101,1.018,1.0162,0.066188,0.077463,15.0,0.0
16291,12117495.0,5.0,3.0,-10.952,6.8851,2.5498,-11.565,8.1437,2.261,0.20495,0.20294,0.066352,0.073161,15.0,0.0
16292,12117604.0,1.0,3.0,-12.549,8.0759,16.5,-13.437,6.7175,15.706,0.34169,0.33779,0.044492,0.05202,15.0,0.0
16293,12118445.0,1.0,3.0,-7.7952,-10.871,-8.2404,-9.9468,-11.713,-7.6511,0.76496,0.76307,0.037467,0.046147,11.0,0.0
16294,12122007.0,1.0,3.0,11.069,6.4952,15.529,13.477,7.1473,14.798,0.65279,0.64957,0.029756,0.03941,3.0,0.0
16295,12122007.0,3.0,3.0,11.224,6.5373,15.481,11.218,6.5459,15.459,0.002341,0.00097665,0.03038,0.031432,3.0,1.0
16296,12123115.0,1.0,3.0,13.502,1.6498,16.5,15.005,1.8479,15.197,0.52792,0.52613,0.045313,0.052971,4.0,0.0
16297,12130964.0,1.0,3.0,0.17145,12.842,2.6611,-1.1411,14.657,2.6491,0.98773,0.98577,0.031754,0.039704,0.0,0.0
16298,12134127.0,1.0,3.0,0.99272,13.308,-11.93,0.14113,15.362,-12.43,0.83384,0.83259,0.030612,0.03883,0.0,0.0
16299,12134673.0,1.0,3.0,12.658,2.7719,-3.9381,15.156,2.4402,-2.6157,0.19907,0.19602,0.03359,0.047262,4.0,0.0
16300,12134673.0,3.0,3.0,15.156,2.4483,-2.608,13.339,1.302,-1.2772,0.10036,0.094894,0.04734,0.0628,4.0,0.0
16301,12134673.0,5.0,3.0,13.9,1.6073,-1.7369,13.899,1.6116,-1.7333,0.0016197,0.00092173,0.057951,0.05821,4.0,1.0
16302,12134673.0,7.0,3.0,14.368,2.5448,-3.0326,14.369,2.5447,-3.0331,0.0010393,0.00097877,0.042951,0.042979,4.0,1.0
16303,12135970.0,1.0,3.0,-12.75,-5.8999,6.4269,-12.061,-8.3111,5.9982,1.0701,1.0678,0.040835,0.049802,12.0,0.0
16304,12138192.0,1.0,3.0,11.74,8.2294,2.522,11.098,6.4381,1.8753,0.39452,0.39269,0.043804,0.051924,3.0,0.0
16305,12138192.0,3.0,3.0,11.044,7.5518,4.6336,12.493,8.2883,5.4579,1.6129,1.6103,0.040212,0.046474,3.0,0.0
16306,12138192.0,5.0,3.0,11.043,7.5476,4.6551,13.089,7.9674,5.4388,1.0633,1.0617,0.040353,0.048223,3.0,0.0
16307,12138192.0,7.0,3.0,11.289,6.177,4.0184,12.967,8.0705,3.5447,0.24907,0.24615,0.037537,0.049136,3.0,0.0
16308,12138192.0,9.0,3.0,12.969,8.0689,3.5385,11.531,5.9772,1.9234,0.1619,0.15784,0.049198,0.064622,3.0,0.0
16309,12138192.0,11.0,3.0,10.958,6.8442,5.3169,13.184,6.2341,4.9732,0.33227,0.33034,0.039901,0.049688,3.0,0.0
16310,12138753.0,1.0,3.0,-12.662,5.8627,1.0439,-12.261,8.319,0.54337,0.26431,0.26137,0.044932,0.056192,15.0,0.0
16311,12138845.0,1.0,3.0,-14.612,2.775,-16.5,-15.125,2.1686,-15.998,0.046407,0.04322,0.041456,0.049375,14.0,0.0
16312,12139985.0,1.0,3.0,1.2363,13.809,-2.4281,-0.01953,15.37,-2.1972,1.3959,1.3944,0.038959,0.04594,0.0,0.0
